Generation,Trim,Color,Production Number,
997.2,GT3,Carrera White,230,
997.2,GT3,Black,163,
997.2,GT3,Guards Red,79,
997.2,GT3,Meteor Grey Metallic,58,
997.2,GT3,Basalt Black Metallic,44,
997.2,GT3,GT Silver Metallic,43,
997.2,GT3,Arctic Silver Metallic,28,
997.2,GT3,Speed Yellow,23,
997.2,GT3,Aqua Blue Metallic,15,
997.2,GT3,PTS Non-Metallic,14,,,,,,,,
997.2,GT3,Cream White,4,
997.2,GT3,Dark Blue Metallic,4,
997.2,GT3,Atlas Grey Metallic,3,
997.2,GT3,Ruby Red Metallic,2,
997.2,GT3,Nordic Gold Metallic,1,
997.2,GT3RS,Grey Black,286,
997.2,GT3RS,Carrera White,223,
997.2,GT3RS,Aqua Blue Metallic,57,
997.2,GT3RS,PTS Non-Metallic,34,
997.2,GT3RS,PTS Metallic,12,
997.2,GT3RS 4.0,Carrera White,107,
997.2,GT3RS 4.0,Black,36,
997.2,GT3RS 4.0,PTS Non-Metallic,12,
997.2,GT3RS 4.0,PTS Metallic,3,
997.2,GT3RS 4.0,GT Silver Metallic,1,
997.2,Speedster,Carrera White,33,
997.2,Speedster,PTS Metallic,1,
997.2,Speedster,PTS Non-Metallic,8,
997.2,Speedster,Pure Blue,66,
997.2,GT2RS,Carrera White,37,
997.2,GT2RS,GT Silver,36,
997.2,GT2RS,Guards Red,31,
997.2,GT2RS,Black,38,
997.2,Turbo(Manual),Aqua Blue Metallic,4,
997.2,Turbo(Manual),Arctic Silver,4,
997.2,Turbo(Manual),Atlas Grey,2,
997.2,Turbo(Manual),Basalt Black,55,
997.2,Turbo(Manual),Black,78,
997.2,Turbo(Manual),Carrara White,42,
997.2,Turbo(Manual),Cream White,1,
997.2,Turbo(Manual),Dark Blue Metallic,12,
997.2,Turbo(Manual),GT Silver,20,
997.2,Turbo(Manual),Guards Red,11,
997.2,Turbo(Manual),Ice Blue Metallic,2,
997.2,Turbo(Manual),Ipanema Blue Metallic,1,
997.2,Turbo(Manual),Macadamia Metallic,4,
997.2,Turbo(Manual),Meteor Grey Metallic,30,
997.2,Turbo(Manual),Paint to Sample Metallic,4,
997.2,Turbo(Manual),Platinum Silver Metallic,20,
997.2,Turbo(Manual),Porsche Racing Green,2,
997.2,Turbo(Manual),Ruby Red Metallic,2,
997.2,Turbo(Manual),Speed Yellow,2,
997.1,GT3,Carrera White,449,
997.1,GT3,Black,137,
997.1,GT3,Arctic Silver Metallic,76,
997.1,GT3,Guards Red,66,
997.1,GT3,Speed Yellow,50,
997.1,GT3,GT Silver Metallic,42,
997.1,GT3,Meteor Grey Metallic,42,
997.1,GT3,Basalt Black Metallic,27,
997.1,GT3,Cobalt Blue Metallic,23,
997.1,GT3,Atlas Grey Metallic,13,
997.1,GT3,Slate Grey Metallic,12,
997.1,GT3,PTS Non-Metallic,11,
997.1,GT3,Midnight Blue Metallic,9,
997.1,GT3,Lapis Blue Metallic,5,
997.1,GT3,Dark Olive Metallic,1,
997.1,GT3RS,Orange,186,
997.1,GT3RS,Black,103,
997.1,GT3RS,Carrera White,71,
997.1,GT3RS,Green,52,
997.1,GT3RS,Arctic Silver Metallic,41,
997.1,GT2,Aqua Blur Metallic,1,
997.1,GT2,Arctic Silver,7,
997.1,GT2,Atlas Grey,3,
997.1,GT2,Basalt Black,19,
997.1,GT2,Black,88,
997.1,GT2,Carrara White,51,
997.1,GT2,GT Silver,20,
997.1,GT2,Guards Red,18,
997.1,GT2,Meteor Grey Metallic,8,
997.1,GT2,Midnight Blue Metallic,1,
997.1,GT2,Nordic Gold Metallic,1,
997.1,GT2,PTS Metallic,1,
997.1,GT2,PTS Non-Metallic,2,
997.1,GT2,Ruby Red Metallic,1,
997.1,GT2,Speed Yellow,17,
